,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
103,GINA 🎀,Pero si le arriendan a parejas donde dejan aguantar hambre a sus hijos y mascotas y fuera de eso viven en un caso d… https://t.co/Gj5kgnQ4vS,Twitter for Android,2020-02-21 00:20:13,Soachaaa
104,Vi-Vot meztizo,"Neolibrealismo, patriarcado, machismo, violencia intrafamiliar, hasta maltrato  de mascotas, es parte de una misma… https://t.co/9SuhJKZqyS",Twitter Web App,2020-02-20 22:09:04,
105,Esthefania Meraz,@edernerip @eduardorivera01 @carolamora75 @LuzRosilloM @Augustadrh @FatimaEspinaC @XimenaVJS @Lupitaarruba… https://t.co/AGcU0myOWJ,Twitter for Android,2020-02-20 14:27:39,Puebla
106,Agustina,"@masazuleslaluz Me despierta la violencia leer que la gente regale las mascotas. No tienen un minimo de compasión. Empatía, nada.",Twitter for Android,2020-02-20 10:14:09,
107,@massvf71,"Fíjate Marianita,  que parte de lo que vivimos en el México es esta muestra, violencia y saña entre los seres human… https://t.co/LaN5mGLQ8P",Twitter for Android,2020-02-20 02:23:17,
108,José,"@luisrga @nanymendez @JuanBla43830863 @edoilustrado Esta excelente que el cuide y proteja a las ave, el problema ra… https://t.co/rl3SxOzTsa",Twitter for iPhone,2020-02-19 01:26:25,EEUU
109,LaGente Piensa,"@DiputadosMorena @wzuloag CALLA MIERDA,
EL HECHO Q BIOLOGICAMENTE EL HOMBRE AYA NACIDO CON MAS FUERZA FISICA Q UNA… https://t.co/ADotRixgsJ",Twitter Web App,2020-02-19 00:47:21,Lima - Peru - y el mundo
110,*KOALA,@Luana84473134 @GLORIABERNARDI1 Ya no como cerdo ya que son muy golpeados y son cada más mascotas que no dan ganas… https://t.co/LnwYObpHQr,Twitter Web App,2020-02-18 22:22:29,v region
111,Daniela Rivas,@Turkaret Es hora de voltear a nuestra casa y empezar ahí el gran esfuerzo. En erradicar la violencia doméstica con… https://t.co/2Ff7NqCn65,Twitter for Android,2020-02-18 19:28:04,México
112,Pαmᥱᥣα,"RT @Noemi_214: @sandracula_ Está fatal, y he visto a personas hacer lo mismo a sus hijos cuando se portan mal, a sus mascotas, a los mayore…",Twitter for Android,2020-02-18 18:38:11,En el fracaso.
113,Ari #FemXarxa 🎗🌱,"RT @ClamorDLibertad: @Sminguillon @Xuxipc Sí, animales que han padecido violencia en la calle y se encuentran en estado de vulnerabilidad,…",Twitter for Android,2020-02-18 18:02:24,República de Catalunya
114,Diálogos en Confianz,"RT @ReikiAlinGG: @DialogosCanal11 @Macrisjauregui @CanalOnceTV Una serie de factores en conjunto, son los creadores de la violencia: intern…",Twitter for Android,2020-02-18 16:12:00,"México, D.F."
115,Alin Goché G,"@DialogosCanal11 @Macrisjauregui @CanalOnceTV Una serie de factores en conjunto, son los creadores de la violencia:… https://t.co/2ixowNpjlO",Twitter for Android,2020-02-18 16:06:58,
116,MAPS,"Eres un enchufado de closet, aupador de violencia contra la mujer, usas a los animales salvajes como mascotas domés… https://t.co/Ksee6BsaXS",Twitter for Android,2020-02-18 14:23:15,caracas
117,JC Cavazzon,"En un país donde hay hiperinflación, armas en la calle con tintes de una guerra civil, violencia campal, emigración… https://t.co/uoNIJFqfva",Twitter for Android,2020-02-18 11:03:50,BCN
118,badC🦋,"No solo la mujer es el blanco para un psicopata,en este país que es méxico y aunque nos duela decirlo cada día es m… https://t.co/8HUJ46SiX2",Twitter for iPhone,2020-02-18 05:38:58,"Monterrey, Nuevo León Mexico"
119,mynameisMAX ⁷✨𝕰𝖌𝖔,"RT @Noemi_214: @sandracula_ Está fatal, y he visto a personas hacer lo mismo a sus hijos cuando se portan mal, a sus mascotas, a los mayore…",Twitter for Android,2020-02-18 02:56:06,
120,𝐍𝐢𝐜𝐨𝐥𝐞,"RT @Noemi_214: @sandracula_ Está fatal, y he visto a personas hacer lo mismo a sus hijos cuando se portan mal, a sus mascotas, a los mayore…",Twitter for iPhone,2020-02-18 00:57:42,
121,Capital,"🐶🐱| Cuando las mascotas son víctimas de violencia familiar: ¿Qué hacer? 

🎙️ #VeterinariaCapital con @panchocavero1… https://t.co/QnmGW6MkLZ",Twitter Web App,2020-02-17 21:40:27,"Lima, Peru"
122,😻😻V.A.L.E.😻😻,"@AndreaChavezTre La Emergencia Nacional no es exclusiva de las  mujeres, creo que hacemos muy mal en clasificar la… https://t.co/C4GYNjmtpm",Twitter for Android,2020-02-17 20:51:54,
123,ً,"cuando no los podía amar mas, en cada show ponen unas mesas para que los fans lleven donaciones para una organizaci… https://t.co/6rPJPuLQQY",Twitter for iPhone,2020-02-17 20:03:42,selenation
124,"chalio Siles. ,","@Jackie2theworld Siempre se supo JACKIE , éste imbecil nunca hará nada para detener la violencia, pretende perpetua… https://t.co/V4VSjy1wkU",Twitter for Android,2020-02-17 16:39:41,cdmx
